Bigram		Count	Probability
('Richard', 'W.')	 : 2	 : 0.0005331437711036076
('chairman', 'of')	 : 225	 : 0.03668831168831169
('of', 'the')	 : 266	 : 0.040800733496332516
('the', 'company')	 : 84	 : 0.012080727686185332
('company', "'s")	 : 42	 : 0.0074743612028506864
("'s", 'National')	 : 1	 : 0.00033383408446002337
('National', 'Operators')	 : 1	 : 0.0003558085749866572
('Operators', 'Advisory')	 : 1	 : 0.0003566969859104691
('Advisory', 'Board')	 : 2	 : 0.0005348546978070957
('Board', ',')	 : 3	 : 0.0007112375533428165
(',', 'says')	 : 12	 : 0.0017038007863695937
('says', 'some')	 : 1	 : 0.00035323207347227127
('some', 'fast-food')	 : 1	 : 0.0003553028957186001
('fast-food', 'outlets')	 : 1	 : 0.00035656979853806385
('outlets', '``')	 : 1	 : 0.0003566969859104691
('``', 'could')	 : 1	 : 0.00034164673727365904
('could', 'be')	 : 3	 : 0.0007103534008169064
('be', 'in')	 : 1	 : 0.00035001750087504374
('in', 'serious')	 : 1	 : 0.00033528918692372173
('serious', 'trouble')	 : 1	 : 0.00035656979853806385
('trouble', ',')	 : 1	 : 0.0003566333808844508
(',', 'based')	 : 1	 : 0.0002621231979030144
('based', 'on')	 : 2	 : 0.0005347593582887701
('on', 'the')	 : 65	 : 0.011466296038915913
('the', 'amount')	 : 2	 : 0.00042637862421830583
('amount', 'of')	 : 2	 : 0.0005349500713266762
('of', 'discounting')	 : 1	 : 0.0003056234718826406
('discounting', 'that')	 : 1	 : 0.0003566333808844508
('that', 'seems')	 : 1	 : 0.00034112229234180454
('seems', 'to')	 : 1	 : 0.00035650623885918
('to', 'be')	 : 28	 : 0.004636290967226219
('be', 'going')	 : 1	 : 0.00035001750087504374
('going', 'on')	 : 1	 : 0.0003563156957063959
('on', '.')	 : 2	 : 0.0005211952744961779
('.', "''")	 : 64	 : 0.00984102952308857
("''", 'Richard')	 : 1	 : 0.0003420557550880794
('Richard', 'Breeden')	 : 2	 : 0.0005331437711036076
('Breeden', ',')	 : 1	 : 0.0003566333808844508
(',', 'the')	 : 111	 : 0.014678899082568808
('the', 'new')	 : 23	 : 0.0034110289937464467
('new', 'chairman')	 : 6	 : 0.001234132581100141
('chairman', 'of')	 : 225	 : 0.03668831168831169
('of', 'the')	 : 266	 : 0.040800733496332516
('the', 'SEC')	 : 3	 : 0.0005685048322910744
('SEC', ',')	 : 1	 : 0.0003562522265764161
(',', 'has')	 : 12	 : 0.0017038007863695937
('has', "n't")	 : 9	 : 0.0017556179775280898
("n't", 'taken')	 : 1	 : 0.00035112359550561797
('taken', 'a')	 : 1	 : 0.0003563791874554526
('a', 'formal')	 : 3	 : 0.0006464124111182935
('formal', 'position')	 : 1	 : 0.00035650623885918
('position', 'on')	 : 1	 : 0.0003557452863749555
('on', 'the')	 : 65	 : 0.011466296038915913
('the', 'bill')	 : 6	 : 0.0009948834565093804
('bill', ',')	 : 1	 : 0.00035612535612535614
(',', 'which')	 : 37	 : 0.004980340760157274
('which', 'would')	 : 2	 : 0.0005306916681408102
('would', 'also')	 : 4	 : 0.0008784258608573436
('also', 'require')	 : 1	 : 0.00035323207347227127
('require', 'investors')	 : 1	 : 0.0003566333808844508
('investors', 'to')	 : 1	 : 0.0003559352197899982
('to', 'disclose')	 : 1	 : 0.000319744204636291
('disclose', 'large')	 : 1	 : 0.0003566969859104691
('large', 'trades')	 : 1	 : 0.0003566969859104691
('trades', 'and')	 : 1	 : 0.0003566969859104691
('and', 'give')	 : 1	 : 0.0003183192742320548
('give', 'the')	 : 5	 : 0.001067995728017088
('the', 'SEC')	 : 3	 : 0.0005685048322910744
('SEC', 'additional')	 : 1	 : 0.0003562522265764161
('additional', 'authority')	 : 1	 : 0.0003557452863749555
('authority', 'during')	 : 1	 : 0.00035656979853806385
('during', 'market')	 : 1	 : 0.0003564427018356799
('market', 'emergencies')	 : 1	 : 0.00035391966023712616
('emergencies', '.')	 : 1	 : 0.0003566969859104691
('.', 'And')	 : 7	 : 0.0012112036336109008
('And', ',')	 : 3	 : 0.0007125044531528322
(',', 'with')	 : 9	 : 0.001310615989515072
('with', 'no')	 : 2	 : 0.0005249343832020997
('no', 'other')	 : 1	 : 0.00035555555555555557
('other', 'offers')	 : 1	 : 0.0003545470661230278
('offers', 'on')	 : 1	 : 0.0003564427018356799
('on', 'the')	 : 65	 : 0.011466296038915913
('the', 'table')	 : 2	 : 0.00042637862421830583
('table', ',')	 : 1	 : 0.0003566333808844508
(',', 'the')	 : 111	 : 0.014678899082568808
('the', 'board')	 : 144	 : 0.02060830017055145
('board', 'apparently')	 : 1	 : 0.0003348961821835231
('apparently', 'felt')	 : 1	 : 0.0003566969859104691
('felt', 'no')	 : 1	 : 0.00035656979853806385
('no', 'pressure')	 : 1	 : 0.00035555555555555557
('pressure', 'to')	 : 3	 : 0.0007126313914127917
('to', 'act')	 : 1	 : 0.000319744204636291
('act', 'on')	 : 1	 : 0.0003566333808844508
('on', 'it')	 : 1	 : 0.00034746351633078526
('it', '.')	 : 8	 : 0.0015778401122019635
('.', 'In')	 : 38	 : 0.0059046177138531416
('In', 'a')	 : 11	 : 0.0021238938053097347
('a', 'statement')	 : 12	 : 0.0021008403361344537
('statement', ',')	 : 5	 : 0.0010672358591248667
(',', 'Craig')	 : 1	 : 0.0002621231979030144
('Craig', 'O.')	 : 1	 : 0.0003566969859104691
('O.', 'McCaw')	 : 1	 : 0.0003563156957063959
('McCaw', ',')	 : 2	 : 0.0005345687811831789
(',', 'chairman')	 : 187	 : 0.024639580602883356
('chairman', 'and')	 : 140	 : 0.02288961038961039
('and', 'chief')	 : 157	 : 0.025147222664332326
('chief', 'executive')	 : 164	 : 0.028467908902691512
('executive', 'officer')	 : 114	 : 0.01984469370146678
('officer', 'of')	 : 46	 : 0.008186727051036406
('of', 'McCaw')	 : 1	 : 0.0003056234718826406
('McCaw', ',')	 : 2	 : 0.0005345687811831789
(',', 'said')	 : 100	 : 0.013237221494102228
('said', ':')	 : 6	 : 0.0011890606420927466
(':', '``')	 : 12	 : 0.0023082386363636365
('``', 'We')	 : 13	 : 0.0023915271609156134
('We', 'trust')	 : 1	 : 0.0003557452863749555
('trust', 'LIN')	 : 1	 : 0.00035650623885918
('LIN', 'will')	 : 1	 : 0.0003564427018356799
('will', 'take')	 : 3	 : 0.0006993006993006993
('take', 'no')	 : 1	 : 0.0003557452863749555
('no', 'further')	 : 1	 : 0.00035555555555555557
('further', 'actions')	 : 1	 : 0.0003562522265764161
('actions', 'that')	 : 1	 : 0.0003564427018356799
('that', 'favor')	 : 1	 : 0.00034112229234180454
('favor', 'BellSouth')	 : 1	 : 0.00035656979853806385
('BellSouth', '.')	 : 1	 : 0.0003566969859104691
('.', "''")	 : 64	 : 0.00984102952308857
("''", 'Meanwhile')	 : 1	 : 0.0003420557550880794
('Meanwhile', ',')	 : 5	 : 0.0010693281055070398
(',', 'in')	 : 15	 : 0.0020969855832241153
('in', 'another')	 : 1	 : 0.00033528918692372173
('another', 'sign')	 : 1	 : 0.00035587188612099647
('sign', 'that')	 : 1	 : 0.0003566969859104691
('that', 'a')	 : 4	 : 0.0008528057308545113
('a', 'new')	 : 20	 : 0.003393665158371041
('new', 'bid')	 : 3	 : 0.0007052186177715092
('bid', 'is')	 : 1	 : 0.000354924578527063
('is', "n't")	 : 15	 : 0.002761954082513378
("n't", 'imminent')	 : 1	 : 0.00035112359550561797
('imminent', ',')	 : 1	 : 0.0003566333808844508
(',', 'it')	 : 12	 : 0.0017038007863695937
('it', 'was')	 : 15	 : 0.002805049088359046
('was', 'learned')	 : 1	 : 0.0003459609064175748
('learned', 'that')	 : 2	 : 0.0005348546978070957
('that', 'the')	 : 52	 : 0.009039740747057821
('the', 'UAL')	 : 14	 : 0.0021318931210915293
('UAL', 'board')	 : 15	 : 0.0028333628475296618
('board', 'held')	 : 1	 : 0.0003348961821835231
('held', 'a')	 : 1	 : 0.0003563156957063959
('a', 'telephone')	 : 1	 : 0.0003232062055591467
('telephone', 'meeting')	 : 1	 : 0.00035650623885918
('meeting', 'Monday')	 : 2	 : 0.0005330490405117271
('Monday', 'to')	 : 2	 : 0.0005340929321701976
('to', 'hear')	 : 2	 : 0.00047961630695443646
('hear', 'an')	 : 1	 : 0.0003566333808844508
('an', 'update')	 : 1	 : 0.00035180299032541777
('update', 'on')	 : 1	 : 0.0003566969859104691
('on', 'the')	 : 65	 : 0.011466296038915913
('the', 'situation')	 : 2	 : 0.00042637862421830583
('situation', ',')	 : 1	 : 0.00035650623885918
(',', 'but')	 : 24	 : 0.00327653997378768
('but', 'that')	 : 1	 : 0.0003545470661230278
('that', 'a')	 : 4	 : 0.0008528057308545113
('a', 'formal')	 : 3	 : 0.0006464124111182935
('formal', 'board')	 : 1	 : 0.00035650623885918
('board', 'meeting')	 : 10	 : 0.001841929002009377
('meeting', 'is')	 : 1	 : 0.00035536602700781805
('is', "n't")	 : 15	 : 0.002761954082513378
("n't", 'likely')	 : 3	 : 0.0007022471910112359
('likely', 'to')	 : 6	 : 0.0012471049349723855
('to', 'be')	 : 28	 : 0.004636290967226219
('be', 'convened')	 : 1	 : 0.00035001750087504374
('convened', 'until')	 : 1	 : 0.0003566969859104691
('until', 'early')	 : 2	 : 0.0005335230304108127
('early', 'next')	 : 3	 : 0.000711997152011392
('next', 'week')	 : 1	 : 0.00035549235691432633
('week', '.')	 : 3	 : 0.000711490572749911
('.', 'But')	 : 26	 : 0.00408781226343679
('But', 'the')	 : 6	 : 0.0012422360248447205
('the', 'board')	 : 144	 : 0.02060830017055145
('board', 'said')	 : 9	 : 0.0016744809109176155
('said', 'it')	 : 20	 : 0.0035671819262782403
('it', 'was')	 : 15	 : 0.002805049088359046
('was', "n't")	 : 6	 : 0.0012108631724615118
("n't", 'interested')	 : 1	 : 0.00035112359550561797
('interested', 'for')	 : 1	 : 0.00035650623885918
('for', 'now')	 : 3	 : 0.0006942034015966678
('now', '.')	 : 4	 : 0.000889521437466643
('.', '``')	 : 93	 : 0.014231642694928085
('``', 'The')	 : 23	 : 0.004099760847283909
('The', 'market')	 : 1	 : 0.0003473428273706148
('market', 'today')	 : 1	 : 0.00035391966023712616
('today', 'has')	 : 1	 : 0.00035618878005342833
('has', 'a')	 : 5	 : 0.001053370786516854
('a', 'life')	 : 3	 : 0.0006464124111182935
('life', 'of')	 : 2	 : 0.0005346640527535199
('of', 'its')	 : 29	 : 0.004584352078239609
('its', 'own')	 : 4	 : 0.0008718395815170009
('own', ',')	 : 2	 : 0.0005340929321701976
(',', "''")	 : 115	 : 0.015203145478374836
("''", 'John')	 : 1	 : 0.0003420557550880794
('John', 'Akers')	 : 1	 : 0.0003540449637103912
('Akers', ',')	 : 1	 : 0.0003566969859104691
(',', 'chairman')	 : 187	 : 0.024639580602883356
('chairman', 'of')	 : 225	 : 0.03668831168831169
('of', 'International')	 : 2	 : 0.0004584352078239609
('International', 'Business')	 : 3	 : 0.000711997152011392
('Business', 'Machines')	 : 3	 : 0.0007125044531528322
('Machines', 'Corp.')	 : 2	 : 0.0005348546978070957
('Corp.', ',')	 : 37	 : 0.006706671373102718
(',', 'said')	 : 100	 : 0.013237221494102228
('said', 'Saturday')	 : 1	 : 0.00033973161202649905
('Saturday', '.')	 : 1	 : 0.0003566969859104691
('.', 'Sales')	 : 1	 : 0.0003028009084027252
('Sales', 'of')	 : 1	 : 0.0003566969859104691
('of', 'medium')	 : 1	 : 0.0003056234718826406
('medium', 'and')	 : 1	 : 0.0003566969859104691
('and', 'heavy-duty')	 : 1	 : 0.0003183192742320548
('heavy-duty', 'trucks')	 : 1	 : 0.0003566969859104691
('trucks', 'continue')	 : 1	 : 0.00035656979853806385
('continue', 'to')	 : 3	 : 0.0007118704395799964
('to', 'lag')	 : 1	 : 0.000319744204636291
('lag', 'previous-year')	 : 1	 : 0.0003566969859104691
('previous-year', 'rates')	 : 1	 : 0.0003566969859104691
('rates', ',')	 : 1	 : 0.0003564427018356799
(',', 'leading')	 : 1	 : 0.0002621231979030144
('leading', 'Eaton')	 : 1	 : 0.00035656979853806385
('Eaton', 'to')	 : 1	 : 0.0003566969859104691
('to', 'expect')	 : 1	 : 0.000319744204636291
('expect', 'fourth-quarter')	 : 1	 : 0.00035656979853806385
('fourth-quarter', 'net')	 : 1	 : 0.0003566969859104691
('net', 'income')	 : 2	 : 0.0005346640527535199
('income', 'to')	 : 1	 : 0.00035656979853806385
('to', 'fall')	 : 1	 : 0.000319744204636291
('fall', 'below')	 : 1	 : 0.0003566333808844508
('below', 'year-earlier')	 : 1	 : 0.00035656979853806385
('year-earlier', 'levels')	 : 1	 : 0.0003566969859104691
('levels', ',')	 : 1	 : 0.0003566969859104691
(',', 'said')	 : 100	 : 0.013237221494102228
('said', 'Stephen')	 : 2	 : 0.0005095974180397486
('Stephen', 'R.')	 : 1	 : 0.0003563156957063959
('R.', 'Hardis')	 : 1	 : 0.0003558085749866572
('Hardis', ',')	 : 1	 : 0.0003566969859104691
(',', 'vice')	 : 16	 : 0.0022280471821756226
('vice', 'chairman')	 : 43	 : 0.007771105616389968
('chairman', 'and')	 : 140	 : 0.02288961038961039
('and', 'chief')	 : 157	 : 0.025147222664332326
('chief', 'financial')	 : 7	 : 0.0013802622498274672
('financial', 'and')	 : 3	 : 0.0007106057914372002
('and', 'administrative')	 : 1	 : 0.0003183192742320548
('administrative', 'officer')	 : 1	 : 0.0003566333808844508
('officer', '.')	 : 21	 : 0.0038320850026127853
('.', 'Michael')	 : 4	 : 0.000757002271006813
('Michael', 'Henderson')	 : 1	 : 0.0003559352197899982
('Henderson', ',')	 : 1	 : 0.0003566333808844508
(',', '51-year-old')	 : 2	 : 0.00039318479685452164
('51-year-old', 'group')	 : 1	 : 0.0003566333808844508
('group', 'chief')	 : 2	 : 0.0005309734513274337
('chief', 'executive')	 : 164	 : 0.028467908902691512
('executive', 'of')	 : 14	 : 0.0025884383088869713
('of', 'this')	 : 53	 : 0.008251833740831296
('this', 'U.K.')	 : 1	 : 0.00035106196243637
('U.K.', 'metals')	 : 1	 : 0.0003566969859104691
('metals', 'and')	 : 1	 : 0.0003566969859104691
('and', 'industrial')	 : 1	 : 0.0003183192742320548
('industrial', 'materials')	 : 1	 : 0.00035656979853806385
('materials', 'maker')	 : 1	 : 0.00035656979853806385
('maker', ',')	 : 2	 : 0.0005336179295624333
(',', 'will')	 : 21	 : 0.0028833551769331584
('will', 'become')	 : 8	 : 0.0015734265734265735
('become', 'chairman')	 : 4	 : 0.0008901548869503294
('chairman', 'in')	 : 1	 : 0.0003246753246753247
('in', 'May')	 : 2	 : 0.0005029337803855825
('May', ',')	 : 1	 : 0.00035656979853806385
(',', 'succeeding')	 : 9	 : 0.001310615989515072
('succeeding', 'Ian')	 : 1	 : 0.00035618878005342833
('Ian', 'Butler')	 : 1	 : 0.0003566333808844508
('Butler', ',')	 : 3	 : 0.00071301247771836
(',', '64')	 : 4	 : 0.000655307994757536
('64', ',')	 : 3	 : 0.00071301247771836
(',', 'who')	 : 63	 : 0.008387942332896461
('who', 'is')	 : 13	 : 0.0024544179523141654
('is', 'retiring')	 : 2	 : 0.0005178663904712584
('retiring', '.')	 : 1	 : 0.0003566333808844508
('.', '``')	 : 93	 : 0.014231642694928085
('``', 'The')	 : 23	 : 0.004099760847283909
('The', 'public')	 : 1	 : 0.0003473428273706148
('public', 'did')	 : 1	 : 0.0003563156957063959
('did', "n't")	 : 13	 : 0.0024906600249066002
("n't", 'come')	 : 1	 : 0.00035112359550561797
('come', 'to')	 : 3	 : 0.00071301247771836
('to', 'the')	 : 85	 : 0.013749000799360511
('the', 'market')	 : 13	 : 0.001989766913018761
('market', 'to')	 : 1	 : 0.00035391966023712616
('to', 'play')	 : 1	 : 0.000319744204636291
('play', 'a')	 : 1	 : 0.0003566333808844508
('a', 'game')	 : 2	 : 0.0004848093083387201
('game', ';')	 : 1	 : 0.00035650623885918
(';', 'they')	 : 1	 : 0.000355998576005696
('they', 'can')	 : 2	 : 0.0005312555339118116
('can', 'go')	 : 1	 : 0.00035587188612099647
('go', 'to')	 : 3	 : 0.0007127583749109052
('to', 'Off-Track')	 : 1	 : 0.000319744204636291
('Off-Track', 'Betting')	 : 1	 : 0.0003566969859104691
('Betting', 'for')	 : 1	 : 0.0003566969859104691
('for', 'that')	 : 1	 : 0.0003471017007983339
('that', ',')	 : 3	 : 0.0006822445846836091
(',', "''")	 : 115	 : 0.015203145478374836
("''", 'says')	 : 37	 : 0.006499059346673508
('says', 'A.')	 : 1	 : 0.00035323207347227127
('A.', 'Brean')	 : 1	 : 0.00035542918073573843
('Brean', 'Murray')	 : 2	 : 0.0005349500713266762
('Murray', ',')	 : 3	 : 0.00071301247771836
(',', 'chairman')	 : 187	 : 0.024639580602883356
('chairman', 'of')	 : 225	 : 0.03668831168831169
('of', 'Brean')	 : 1	 : 0.0003056234718826406
('Brean', 'Murray')	 : 2	 : 0.0005349500713266762
('Murray', ',')	 : 3	 : 0.00071301247771836
(',', 'Foster')	 : 1	 : 0.0002621231979030144
('Foster', 'Securities')	 : 1	 : 0.0003566333808844508
('Securities', ',')	 : 2	 : 0.0005343783398646241
(',', 'a')	 : 68	 : 0.009043250327653997
('a', 'traditional')	 : 1	 : 0.0003232062055591467
('traditional', 'money')	 : 1	 : 0.00035656979853806385
('money', 'management')	 : 1	 : 0.00035606195478013177
('management', 'firm')	 : 1	 : 0.0003553028957186001
('firm', '.')	 : 8	 : 0.0015971606033717836
('.', 'Program')	 : 1	 : 0.0003028009084027252
('Program', 'trading')	 : 1	 : 0.0003566969859104691
('trading', 'itself')	 : 1	 : 0.00035587188612099647
('itself', ',')	 : 3	 : 0.0007128854036713598
(',', 'according')	 : 9	 : 0.001310615989515072
('according', 'to')	 : 9	 : 0.0017809439002671415
('to', 'many')	 : 1	 : 0.000319744204636291
('many', 'academics')	 : 1	 : 0.00035568202027387515
('academics', 'who')	 : 1	 : 0.0003566969859104691
('who', 'have')	 : 2	 : 0.0005259467040673212
('have', 'studied')	 : 1	 : 0.00035310734463276836
('studied', 'it')	 : 1	 : 0.0003566969859104691
('it', ',')	 : 4	 : 0.0008765778401122019
(',', 'is')	 : 14	 : 0.001965923984272608
('is', 'merely')	 : 1	 : 0.00034524426031417227
('merely', 'caught')	 : 1	 : 0.0003566969859104691
('caught', 'in')	 : 1	 : 0.0003566969859104691
('in', 'the')	 : 92	 : 0.01559094719195306
('the', 'middle')	 : 17	 : 0.002558271745309835
('middle', 'of')	 : 12	 : 0.0023061912364733014
('of', 'this')	 : 53	 : 0.008251833740831296
('this', 'battle')	 : 1	 : 0.00035106196243637
('battle', ',')	 : 1	 : 0.0003566969859104691
(',', 'unfairly')	 : 1	 : 0.0002621231979030144
('unfairly', 'labeled')	 : 1	 : 0.0003566333808844508
('labeled', 'as')	 : 1	 : 0.0003566969859104691
('as', 'the')	 : 6	 : 0.0012161223071577485
('the', 'evil')	 : 1	 : 0.0002842524161455372
('evil', 'driving')	 : 1	 : 0.0003566969859104691
('driving', 'force')	 : 1	 : 0.0003566969859104691
('force', 'of')	 : 1	 : 0.0003562522265764161
('of', 'the')	 : 266	 : 0.040800733496332516
('the', 'marketplace')	 : 2	 : 0.00042637862421830583
('marketplace', '.')	 : 2	 : 0.0005348546978070957
('.', 'The')	 : 121	 : 0.01847085541256624
('The', 'group')	 : 3	 : 0.0006946856547412296
('group', 'did')	 : 2	 : 0.0005309734513274337
('did', "n't")	 : 13	 : 0.0024906600249066002
("n't", 'make')	 : 1	 : 0.00035112359550561797
('make', 'a')	 : 5	 : 0.0010681858643403952
('a', 'formal')	 : 3	 : 0.0006464124111182935
('formal', 'offer')	 : 1	 : 0.00035650623885918
('offer', ',')	 : 2	 : 0.0005322924059616749
(',', 'but')	 : 24	 : 0.00327653997378768
('but', 'instead')	 : 1	 : 0.0003545470661230278
('instead', 'told')	 : 1	 : 0.00035650623885918
('told', 'UAL')	 : 1	 : 0.00035606195478013177
('UAL', "'s")	 : 11	 : 0.0021250221356472463
("'s", 'advisers')	 : 1	 : 0.00033383408446002337
('advisers', 'before')	 : 1	 : 0.00035650623885918
('before', 'the')	 : 10	 : 0.0019559032716927453
('the', 'most-recent')	 : 1	 : 0.0002842524161455372
('most-recent', 'board')	 : 1	 : 0.0003566969859104691
('board', 'meeting')	 : 10	 : 0.001841929002009377
('meeting', 'that')	 : 1	 : 0.00035536602700781805
('that', 'it')	 : 8	 : 0.0015350503155381204
('it', 'was')	 : 15	 : 0.002805049088359046
('was', 'working')	 : 1	 : 0.0003459609064175748
('working', 'on')	 : 2	 : 0.0005347593582887701
('on', 'a')	 : 12	 : 0.002258512856150104
('a', 'bid')	 : 6	 : 0.0011312217194570137
('bid', 'valued')	 : 1	 : 0.000354924578527063
('valued', 'at')	 : 2	 : 0.0005347593582887701
('at', 'between')	 : 1	 : 0.0003505082369435682
('between', '$')	 : 1	 : 0.0003563156957063959
('$', '225')	 : 1	 : 0.0003505082369435682
('225', 'and')	 : 1	 : 0.0003566969859104691
('and', '$')	 : 5	 : 0.0009549578226961642
('$', '240')	 : 2	 : 0.0005257623554153522
('240', 'a')	 : 2	 : 0.0005349500713266762
('a', 'share')	 : 19	 : 0.003232062055591467
('share', '.')	 : 3	 : 0.0007107320540156361
('.', 'At')	 : 11	 : 0.0018168054504163512
('At', 'a')	 : 2	 : 0.000533997864008544
('a', 'later')	 : 1	 : 0.0003232062055591467
('later', 'news')	 : 1	 : 0.0003562522265764161
('news', 'conference')	 : 2	 : 0.0005345687811831789
('conference', 'here')	 : 1	 : 0.0003566333808844508
('here', ',')	 : 4	 : 0.0008909479686386316
(',', 'Frank')	 : 2	 : 0.00039318479685452164
('Frank', 'Lorenzo')	 : 3	 : 0.0007123775601068567
('Lorenzo', ',')	 : 2	 : 0.0005348546978070957
(',', 'chairman')	 : 187	 : 0.024639580602883356
('chairman', 'of')	 : 225	 : 0.03668831168831169
('of', 'Eastern')	 : 1	 : 0.0003056234718826406
('Eastern', "'s")	 : 1	 : 0.00035650623885918
("'s", 'parent')	 : 4	 : 0.0008345852111500584
('parent', 'Texas')	 : 1	 : 0.0003559352197899982
('Texas', 'Air')	 : 2	 : 0.0005342831700801424
('Air', 'Corp.')	 : 1	 : 0.00035650623885918
('Corp.', ',')	 : 37	 : 0.006706671373102718
(',', 'said')	 : 100	 : 0.013237221494102228
('said', 'Eastern')	 : 1	 : 0.00033973161202649905
('Eastern', 'was')	 : 1	 : 0.00035650623885918
('was', 'exceeding')	 : 1	 : 0.0003459609064175748
('exceeding', 'its')	 : 1	 : 0.0003566969859104691
('its', 'goals')	 : 1	 : 0.0003487358326068004
('goals', 'for')	 : 1	 : 0.0003566969859104691
